CATEGORY,ITEM CODE,DESCRIPTION,SUPPLIER,UNIT PRICE,OPENING STOCKS,PURCHASE QUANTITY,SALES QUANTITY,ENDING STOCKS,RETAIL PRICE
OIL,OIL061,GREASE HI-TEMP 10G - KOBY,ARB18,9,45,0,3,42,30
ACCESSORIES,ACS168,SIDE MIRROR RUSI/XRM - MAKOTO,ARB18,98,10,0,0,10,200
ELECTRICAL,ELE433,STARTER RELAY GY6/SMASH/LIFAN - MEP,ARB18,97,10,0,0,10,200
WHEEL,WHL322,TIRE 14 80/90 TL - BEAST FLASH,ARB18,870,5,0,0,5,1100
WHEEL,WHL238,TIRE 14 90/80 TL BEAST FLASH,ARB18,932,5,0,0,5,1200
WHEEL,WHL226,TIRE 14 90/90 TL - FLASH BEAST,ARB18,1001,3,0,0,3,1300
ENGINE,ENG204,CAMS TMX/RUSI - YAKIMOTO,ARB18,282,0,0,0,0,500
CLUTCH,CLT033,CLUTCH SPRING MIO/NMAX/AEROX 1000RPM - JVT,ARB18,279,2,0,0,2,450
CLUTCH,CLT054,CLUTCH SPRING MIO/NMAX/AEROX 1500RPM - JVT,ARB18,264,6,0,0,6,450
BOLT & NUT,BNT065,ADAPTOR SIDE MIRROR SUZUKI,WALKIN,10,49,0,0,49,30
BOLT & NUT,BNT064,ADAPTOR SIDE MIRROR UNIVERSAL,WALKIN,10,40,0,0,40,30
BOLT & NUT,BNT063,ADAPTOR SIDE MIRROR YAMAHA REVERSE,WALKIN,10,42,0,0,42,30
ACCESSORIES,ACS001,ADV FRONT - SPIDER RACING,WALKIN,300,1,0,0,1,350
ACCESSORIES,ACS002,AIR BOX COVER - SEC (ADV / PCX 150),WALKIN,900,1,0,0,1,1100
FILTER,FIL001,AIR CLEANER BEAT FI 17210-K46-N20,WALKIN,290,1,0,0,1,350
FILTER,FIL002,AIR CLEANER BOX NMAXV2,WALKIN,580,1,0,0,1,800
FILTER,FIL003,AIR CLEANER COVER NMAXV2,WALKIN,500,1,0,0,1,750
FILTER,FIL005,AIR FILTER AEROX155,WALKIN,197,1,0,0,1,280
FILTER,FIL063,AIR FILTER ELEMENT CLICK125,ARB18,125,2,0,0,2,180
FILTER,FIL064,AIR FILTER ELEMENT CLICK125 - FTC,ARB18,125,0,0,0,0,180
FILTER,FIL065,AIR FILTER ELEMENT CLICK125 - MAKOTO,ARB18,120,0,0,0,0,200
FILTER,FIL061,AIR FILTER ELEMENT MIO,ARB18,76,4,0,0,4,130
FILTER,FIL011,AIR FILTER ELEMENT MIO - FMP,PANGMASA,98,2,0,0,2,140
FILTER,FIL062,AIR FILTER ELEMENT MIO i125,ARB18,120,0,0,0,0,180
