ITEM CODE,DESCRIPTION,ENDING STOCKS,UNIT PRICE,RETAIL PRICE,CATEGORY,SUPPLIER
OIL061,GREASE HI-TEMP 10G - KOBY,42,9,30,OIL,ARB18
ACS168,SIDE MIRROR RUSI/XRM - MAKOTO,10,98,200,ACCESSORIES,ARB18
ELE433,STARTER RELAY GY6/SMASH/LIFAN - MEP,10,97,200,ELECTRICAL,ARB18
WHL322,TIRE 14 80/90 TL - BEAST FLASH,5,870,1100,WHEEL,ARB18
WHL238,TIRE 14 90/80 TL BEAST FLASH,5,932,1200,WHEEL,ARB18
WHL226,TIRE 14 90/90 TL - FLASH BEAST,3,1001,1300,WHEEL,ARB18
ENG204,CAMS TMX/RUSI - YAKIMOTO,0,282,500,ENGINE,ARB18
CLT033,CLUTCH SPRING MIO/NMAX/AEROX 1000RPM - JVT,2,279,450,CLUTCH,ARB18
CLT054,CLUTCH SPRING MIO/NMAX/AEROX 1500RPM - JVT,6,264,450,CLUTCH,ARB18
BNT065,ADAPTOR SIDE MIRROR SUZUKI,49,10,30,BOLT & NUT,WALKIN
BNT064,ADAPTOR SIDE MIRROR UNIVERSAL,40,10,30,BOLT & NUT,WALKIN
BNT063,ADAPTOR SIDE MIRROR YAMAHA REVERSE,42,10,30,BOLT & NUT,WALKIN
ACS001,ADV FRONT - SPIDER RACING,1,300,350,ACCESSORIES,WALKIN
ACS002,AIR BOX COVER - SEC (ADV / PCX 150),1,900,1100,ACCESSORIES,WALKIN
FIL001,AIR CLEANER BEAT FI 17210-K46-N20,1,290,350,FILTER,WALKIN
FIL002,AIR CLEANER BOX NMAXV2,1,580,800,FILTER,WALKIN
FIL003,AIR CLEANER COVER NMAXV2,1,500,750,FILTER,WALKIN
FIL005,AIR FILTER AEROX155,1,197,280,FILTER,WALKIN
FIL063,AIR FILTER ELEMENT CLICK125,2,125,180,FILTER,ARB18
FIL064,AIR FILTER ELEMENT CLICK125 - FTC,0,125,180,FILTER,ARB18
